Name,Person,Points,Person/Player Join,taskpoints,Fluffy Points,Membership Type,Completed Tasks,Conventional pay,Domain Lead,Email,Jobs,Liberty Game Pay,Phone Number,Roles/Badges,Shifts,Tasks,Workperiod Conventional Pays,Workperiods,completed tasks people/person join,workperiods people/person join,Disapproved Tasks,Phone,Message,Guestbook Date,Event Orders,Events Attended
"@Cameron Ely-Murdock ",Cameron Ely-Murdock,225,@Cameron Ely-Murdock,"3,5,5,2,69,3,5,5,2,10,5,5,1,1,1,5,10,30,20,1,1,1,25,10",,"Player, Steward","Made pudding (https://www.notion.so/Made-pudding-1ae1503617b480ee8ae1fd17ce84c956?pvs=21), Swept up (https://www.notion.so/Swept-up-1ae1503617b48081a5c3d23335bf6221?pvs=21), Bake Bananna Bread (https://www.notion.so/Bake-Bananna-Bread-1ae1503617b4806580d8f126cdba29ab?pvs=21), Sweep Stand (https://www.notion.so/Sweep-Stand-1ae1503617b48019a830cc65c2299c11?pvs=21), stuff it (https://www.notion.so/stuff-it-1ae1503617b48017a166c7e33740d4dc?pvs=21), Made pudding (https://www.notion.so/Made-pudding-1bb1503617b4806988f6e9e346e667c9?pvs=21), Swept up (https://www.notion.so/Swept-up-1bb1503617b480458622cd4fe0afb589?pvs=21), Bake Bananna Bread (https://www.notion.so/Bake-Bananna-Bread-1bb1503617b4809ba50afb829e98a573?pvs=21), Sweep Stand (https://www.notion.so/Sweep-Stand-1bb1503617b48016850bfb510e14d11f?pvs=21), Set Up Liquor (https://www.notion.so/Set-Up-Liquor-1bb1503617b480a5854fe930196cfad9?pvs=21), Bake Bananna Bread (https://www.notion.so/Bake-Bananna-Bread-1bb1503617b48039b6cad44dc9da949f?pvs=21), Clean floors (https://www.notion.so/Clean-floors-1bb1503617b480f6ac85dc304a0fa2ec?pvs=21), Give shift report to next staff & communicate new/what needs to be done (https://www.notion.so/Give-shift-report-to-next-staff-communicate-new-what-needs-to-be-done-1bc1503617b480dc81f9e50972838b6a?pvs=21), Check schedule for next two weeks and confirm shifts (https://www.notion.so/Check-schedule-for-next-two-weeks-and-confirm-shifts-1bc1503617b480dc81f7cb94ee5d79c5?pvs=21), Count cash box & put anything over $150 in envelope under Richards office door (https://www.notion.so/Count-cash-box-put-anything-over-150-in-envelope-under-Richards-office-door-1bc1503617b4805e8dd9dffe16cfc8c2?pvs=21), Clean floors (https://www.notion.so/Clean-floors-1c21503617b480ac92e6c7113401b2bf?pvs=21), Post about smoothies on instagram (https://www.notion.so/Post-about-smoothies-on-instagram-f7e07c2fcd4e4d8187224d0919ea0f4d?pvs=21), Create content for smoothie post (https://www.notion.so/Create-content-for-smoothie-post-d4a90eb2d63f4c14b568ce7978f8696e?pvs=21), post pics on instagram (https://www.notion.so/post-pics-on-instagram-900e84baf82e43cba1125fdea544d817?pvs=21), new 1111 (https://www.notion.so/new-1111-0287489dec684664810e81a586a942bb?pvs=21), Give shift report to next staff & communicate new/what needs to be done (https://www.notion.so/Give-shift-report-to-next-staff-communicate-new-what-needs-to-be-done-7f0d1387afdf446591a66ec9ee2a44cc?pvs=21), Check schedule for next two weeks and confirm shifts (https://www.notion.so/Check-schedule-for-next-two-weeks-and-confirm-shifts-d6657f807d1d47739ebcd4cd19f02aaa?pvs=21), Count cash box & put anything over $150 in envelope under Richards office door (https://www.notion.so/Count-cash-box-put-anything-over-150-in-envelope-under-Richards-office-door-47fb7133dd9f44cb97b6924446cdf942?pvs=21), Untitled (https://www.notion.so/6d0c9d18e68e4a7cbdf87a969d3737cf?pvs=21), mop floor (https://www.notion.so/mop-floor-2e0fdb3fb04740989c2a814953956057?pvs=21), Untitled (https://www.notion.so/31af955fd0f041548c8ce74677dc6fa8?pvs=21), Untitled (https://www.notion.so/435f7f6fd45849faaf6b94e03c31c333?pvs=21)",,"Emergent Community Events (https://www.notion.so/Emergent-Community-Events-1aa1503617b480659c48d75a16c9875b?pvs=21), DOGE Riverside (https://www.notion.so/DOGE-Riverside-1aa1503617b480e8b6e9db3897dca2eb?pvs=21)",,,,,"Bartender (https://www.notion.so/Bartender-1aa1503617b480d8987de917ce2a559e?pvs=21), Barista (https://www.notion.so/Barista-1aa1503617b480679f46e12691d5f150?pvs=21)",,"Swept up (https://www.notion.so/Swept-up-1ae1503617b4807290eaf09885831392?pvs=21), Made pudding (https://www.notion.so/Made-pudding-1ae1503617b48052b0f2cb4c6489e5dd?pvs=21), Give shift report to next staff & communicate new/what needs to be done (https://www.notion.so/Give-shift-report-to-next-staff-communicate-new-what-needs-to-be-done-1bc1503617b48116943cd9c084bac7e6?pvs=21), Stools Outside (https://www.notion.so/Stools-Outside-1bc1503617b48135a68dca767b93d7f9?pvs=21), Untitled (https://www.notion.so/7580e4f2c78e49589f5c66dcaa6eb7cc?pvs=21), Untitled (https://www.notion.so/d03d82ed5ebe4f679fcc409e95b3ba4f?pvs=21), Untitled (https://www.notion.so/95e6acc03b75441f8775f7d009003f89?pvs=21), Untitled (https://www.notion.so/1415aabbebbb44da87c7642e1178639f?pvs=21), Untitled (https://www.notion.so/27a2d6fd48a2498a9bbc17ab5347e489?pvs=21), Untitled (https://www.notion.so/5e8afe51e9604d9f81abe36c0e69a971?pvs=21), Untitled (https://www.notion.so/39d3e6165a4d44969bf89874becff5fe?pvs=21), mop floor (https://www.notion.so/mop-floor-861f9c9bcde640f8b6ab4ffe2b507fb5?pvs=21)",,"Barista Shift (https://www.notion.so/Barista-Shift-1ae1503617b4805d8f29ea8e795601c3?pvs=21), Barista Shift (https://www.notion.so/Barista-Shift-1ae1503617b480ab82b1e6b537bd28ff?pvs=21), Barista Shift (https://www.notion.so/Barista-Shift-1bb1503617b480abaf92fdc392da871c?pvs=21), Shift (https://www.notion.so/Shift-af5bca4f6a9c446abb9e325e7a1b363c?pvs=21), Midday Brista Shift (https://www.notion.so/Midday-Brista-Shift-599b1a72cff54b279ea839a6a222f48c?pvs=21), Midday Brista Shift (https://www.notion.so/Midday-Brista-Shift-4ef196f7efdb45bba06bec3de0151513?pvs=21), Set Up Notion Tables (https://www.notion.so/Set-Up-Notion-Tables-ef115a5f248d4066b47ea3a86a9b31dc?pvs=21), Set Up Notion Tables (https://www.notion.so/Set-Up-Notion-Tables-54e0b45b317547e4b36d931e8663f4be?pvs=21), Set Up Notion Tables (https://www.notion.so/Set-Up-Notion-Tables-ecda6e191ada4517a8751644560678be?pvs=21), Notion Tables (https://www.notion.so/Notion-Tables-6204fdfd3f8f4bbcbc27df6f7ae4328d?pvs=21), Notion Tables (https://www.notion.so/Notion-Tables-c312bbf6258940b1ba6833feca7eb87f?pvs=21), Notion Tables (https://www.notion.so/Notion-Tables-9b76c21153de465e9813fd061dbbc3f2?pvs=21), Notion Tables (https://www.notion.so/Notion-Tables-101ff82bb455412bbd2a35f9ba79f373?pvs=21), Shift (https://www.notion.so/Shift-c3172883bd6e4b528f48aeaea1d8b434?pvs=21), bob’s wedding kitchen shift 4/20 (https://www.notion.so/bob-s-wedding-kitchen-shift-4-20-6e75f45cae994a1ab8aaef27b3d37908?pvs=21)","Made pudding,Swept up,Bake Bananna Bread,Sweep Stand,stuff it,Made pudding,Swept up,Bake Bananna Bread,Sweep Stand,Set Up Liquor,Bake Bananna Bread,Clean floors,Give shift report to next staff & communicate new/what needs to be done,Check schedule for next two weeks and confirm shifts,Count cash box & put anything over $150 in envelope under Richards office door,Clean floors,Post about smoothies on instagram,Create content for smoothie post,post pics on instagram,new 1111,Give shift report to next staff & communicate new/what needs to be done,Check schedule for next two weeks and confirm shifts,Count cash box & put anything over $150 in envelope under Richards office door,mop floor","@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock,@Cameron Ely-Murdock",,,,,,
"@Kathleen Marie Rose ",Kathleen Marie Rose,0,@Kathleen Marie Rose,,,Player,,0,Promotions (https://www.notion.so/Promotions-1cf1503617b48021a80cc35b1e580cf1?pvs=21),,,,,Promotor (https://www.notion.so/Promotor-1aa1503617b4805a806de029dac50b1a?pvs=21),,,,,,,,,,,,
"@Miranda Clendening ",Miranda Clendening,0,@Miranda Clendening,,,Steward,,0,The Stand (https://www.notion.so/The-Stand-1aa1503617b48099bc59da3b0802de47?pvs=21),,,,,,,,,,,,,,,,,
"@Richard Moser ",Richard Moser,0,@Richard Moser,,,Steward,,0,"GreenBriar (https://www.notion.so/GreenBriar-1aa1503617b480c29ae4c91e42a8c4d5?pvs=21), Chef's Collective (https://www.notion.so/Chef-s-Collective-1aa1503617b480949cbee76d467b2e1e?pvs=21), Riverside Canvass (https://www.notion.so/Riverside-Canvass-1aa1503617b480089e03ffb4fd6c6611?pvs=21)",,,,,Baker (https://www.notion.so/Baker-1aa1503617b48099827ae001e483f9cf?pvs=21),,,,,,,,,,,,
" @edward@boulderriverside.com ",edward@boulderriverside.com,0,@edward@boulderriverside.com,,,Steward,,0,Private Events (https://www.notion.so/Private-Events-1aa1503617b4800bbb93d4d1bc37e285?pvs=21),,,,,,,,,,,,,,,,,
"@Riverside Admin ",Riverside Admin,4,@Riverside Admin,"1,3",,Player,"Shift hand-off sheet filled out (https://www.notion.so/Shift-hand-off-sheet-filled-out-1d51503617b480dbb322db182edc571d?pvs=21), toilet, sink, mirror, fill soap (https://www.notion.so/toilet-sink-mirror-fill-soap-1d51503617b4807b8fdffdba119f51d6?pvs=21), new 1111 (https://www.notion.so/new-1111-1d51503617b480fdb635cea8c2f6edc6?pvs=21)",0,,,,,,,,,,,"Shift hand-off sheet filled out,toilet, sink, mirror, fill soap,new 1111",,,,,,,
Ed Jabari,,0,,,,Player,,0,,,,,,Event Coordinator (https://www.notion.so/Event-Coordinator-1aa1503617b4801e8a07ffe2bf75c10c?pvs=21),,,,,,,,,,,,
Deyani,,0,,,,Player,,0,,,,,,"Barista (https://www.notion.so/Barista-1aa1503617b480679f46e12691d5f150?pvs=21), Event Coordinator (https://www.notion.so/Event-Coordinator-1aa1503617b4801e8a07ffe2bf75c10c?pvs=21)",,,,,,,,,,,,
Maya,,0,,,,Player,,0,,,,,,Barista (https://www.notion.so/Barista-1aa1503617b480679f46e12691d5f150?pvs=21),,,,,,,,,,,,
Emma,,0,,,,Player,,0,,,,,,Barista (https://www.notion.so/Barista-1aa1503617b480679f46e12691d5f150?pvs=21),,,,,,,,,,,,
